,idx,x_coord,y_coord
0,0,293.0,460.0
1,1,299.0,458.0
2,2,299.0,458.0
3,3,299.0,458.0
4,4,299.0,458.0
5,5,299.0,458.0
6,6,299.0,458.0
7,7,299.0,458.0
8,8,299.0,458.0
9,9,303.0,458.0
10,10,301.0,458.0
11,11,301.0,458.0
12,12,301.0,458.0
13,13,301.0,458.0
14,14,301.0,458.0
15,15,301.0,458.0
16,16,301.0,458.0
17,17,301.0,458.0
18,18,301.0,458.0
19,19,301.0,458.0
20,20,301.0,458.0
21,21,301.0,458.0
22,22,301.0,458.0
23,23,301.0,458.0
24,24,301.0,458.0
25,25,301.0,458.0
26,26,301.0,458.0
27,27,301.0,458.0
28,28,297.0,460.0
29,29,297.0,460.0
30,30,297.0,460.0
31,31,297.0,460.0
32,32,297.0,460.0
33,33,299.0,460.0
34,34,299.0,458.0
35,35,299.0,458.0
36,36,299.0,458.0
37,37,299.0,458.0
38,38,299.0,458.0
39,39,297.0,465.0
40,40,297.0,465.0
41,41,297.0,465.0
42,42,297.0,465.0
43,43,291.0,461.0
44,44,293.0,460.0
45,45,293.0,460.0
46,46,293.0,460.0
47,47,293.0,460.0
48,48,293.0,460.0
49,49,293.0,460.0
50,50,297.0,460.0
51,51,297.0,460.0
52,52,297.0,460.0
53,53,297.0,460.0
54,54,297.0,460.0
55,55,297.0,460.0
56,56,297.0,460.0
57,57,297.0,460.0
58,58,297.0,460.0
59,59,295.0,449.0
60,60,297.0,456.0
61,61,297.0,465.0
62,62,299.0,461.0
63,63,299.0,461.0
64,64,301.0,460.0
65,65,305.0,458.0
66,66,305.0,458.0
67,67,305.0,458.0
68,68,305.0,458.0
69,69,309.0,458.0
70,70,309.0,458.0
71,71,309.0,458.0
72,72,309.0,458.0
73,73,309.0,458.0
74,74,309.0,458.0
75,75,309.0,463.0
76,76,307.0,468.0
77,77,307.0,468.0
78,78,307.0,468.0
79,79,307.0,468.0
80,80,307.0,468.0
81,81,307.0,468.0
82,82,307.0,468.0
